Features,Average Scores
pm10_int,1.0
pm25_cams,0.564
pm10_cams,0.545
co_s5p,0.54
press,0.538
temp_2m,0.494
aod_055,0.489
dust_cams,0.488
aod_047,0.488
co_cams,0.47
so2_cams,0.468
no2_cams,0.467
o3_s5p,0.467
nh3_cams,0.449
no2_int,0.442
nmvocs_cams,0.436
no_cams,0.434
siarl12,0.412
siarl9,0.392
soil_text7,0.387
temp_int,0.384
nox_int,0.384
clim_zone,0.376
dsf2,0.373
co_int,0.367
nh3_int,0.351
no2_s5p,0.328
dsf12,0.328
soil_text4,0.323
soil_text5,0.318
rad_glob_int,0.312
soil_text,0.305
soil7,0.302
farms,0.3
highway,0.296
soil_moist,0.293
siarl2,0.293
aspect_mean,0.289
pop,0.272
soilSum,0.272
n_wind,0.264
dsf14,0.263
so2_int,0.262
dsf13,0.262
air_hum_int,0.262
soilTextSum,0.258
int_sec,0.258
prec_int,0.257
siarlSum,0.253
sec_road,0.252
farm_poultry,0.246
soil_text6,0.244
dusafSum,0.243
int_prim,0.24
soil1,0.239
dsf11,0.237
wind_speed_int,0.233
soil2,0.231
uvai,0.227
aq_zone,0.225
dsf5,0.223
soil_text1,0.222
int_prim_sec,0.221
soil5,0.209
prim_road,0.209
soil4,0.206
soil_text2,0.205
soil8,0.205
dsf4,0.204
farm_pigs,0.2
soil_text10,0.199
soil9,0.177
farm_sheep,0.165
soil_text9,0.161
soil_text3,0.152
wind_dir_int,0.146
o3_int,0.136
prec,0.124
dsf3,0.114
o3_cams,0.103
ndvi,0.095
e_wind,0.094
h_mean,0.083
slope_mean,0.059
