Features,Average Scores
nh3_int,0.941
pm10_int,0.907
nh3_cams,0.615
pm10_cams,0.576
pm25_cams,0.545
co_cams,0.475
nox_int,0.462
aod_047,0.452
no2_int,0.427
clim_zone,0.42
temp_int,0.419
dsf2,0.389
no2_cams,0.386
ndvi,0.382
nmvocs_cams,0.38
farm_poultry,0.379
press,0.367
temp_2m,0.355
soil_text4,0.352
farm_pigs,0.347
no_cams,0.307
int_sec,0.302
soilTextSum,0.299
int_prim,0.295
soil7,0.282
soil_text5,0.28
soil,0.278
soil_text3,0.271
sec_road,0.269
farm_sheep,0.251
int_prim_sec,0.244
rad_glob_int,0.243
air_hum_int,0.238
highway,0.238
soil_text10,0.235
pop,0.232
soilSum,0.23
soil_text7,0.224
prim_road,0.217
wind_dir_int,0.192
soil8,0.189
soil_text2,0.17
soil4,0.168
soil_text6,0.166
soil1,0.162
soil_text1,0.16
aq_zone,0.151
soil2,0.142
soil_text,0.134
soil5,0.125
soil_text9,0.11
soil9,0.091
o3_cams,0.086
dsf3,0.06
o3_int,0.058
