Features,Final Score
dsf2,6
temp_int,6
rad_glob_int,6
clim_zone,6
soil_text4,6
temp_2m,6
co_cams,5
int_sec,5
farm_poultry,5
press,5
pop,5
nh3_cams,5
pm10_cams,5
no2_cams,5
nmvocs_cams,5
o3_cams,5
no2_int,5
nox_int,5
pm10_int,5
sec_road,5
prim_road,4
highway,4
int_prim,4
soil_text7,4
soil_text5,4
farm_pigs,4
int_prim_sec,4
aod_047,4
dusafSum,3
wind_dir_int,3
soil8,3
dsf3,3
aq_zone,3
soil_text3,3
air_hum_int,2
soilSum,2
soil7,2
ndvi,2
soil_text1,1
soilTextSum,1
soil_text6,1
soil_text2,1
soil,1
o3_int,1
farm_sheep,1
soil1,1
nh3_int,1
soil2,1
soil4,1
soil5,1
soil_text9,1
soil9,1
soil_text,1
soil_text10,1
soil_text8,0
