Features,0,1,2,3,4,Scores
area,99,98,126,84,90,75
pop,64,55,51,53,45,23
int_sec,28,35,45,37,55,12
ndvi,23,52,42,76,73,23
press,38,108,51,119,49,46
aod_047,88,89,90,51,83,51
nh3_cams,79,112,90,64,85,62
co_cams,68,109,52,59,112,56
pm10_cams,61,56,83,55,42,29
pm25_cams,79,54,73,85,94,51
no2_cams,105,71,61,71,132,62
nmvocs_cams,106,98,106,131,127,87
o3_cams,61,68,91,98,75,53
nh3_int,58,66,108,102,69,52
no2_int,99,92,71,52,49,45
nox_int,88,58,45,75,51,37
o3_int,91,103,113,115,138,86
pm10_int,134,92,102,140,102,82
air_hum_int,68,82,82,70,121,54
rad_glob_int,33,122,146,81,75,64
