,Features,Pearson,Spearmanr,Kendall,Fisher,RF Importance,RFS,Borda Count Voting
0,h_mean,-0.12292862606379214,-0.08841532721782461,-0.066124355843982,10.656570552062915,0.005353693713210125,1,148
1,aspect_major,-0.0315065319324181,-0.026850960773131885,-0.014548432639806468,0.061233322524019175,0.0010646858155495408,0,34
2,slope_mean,-0.09774371191843616,-0.22097500282244537,-0.14831726046679317,5.899037295333862,0.0025577946386377954,1,144
3,pop,0.05261304644036836,-0.0401732124716766,-0.02206981729408487,1.0421996282416341,0.0017193706259006787,1,74
4,dsf2,0.1468743825995077,0.14322985404970678,0.09131236087530181,20.307105064234634,0.0010535737463347897,1,144
5,soil_text3,-0.24974818039270424,-0.3119136927263403,-0.2346649245775466,49.36475962013439,0.010265975456397193,0,180
6,soil_text4,0.24517185125169896,0.2584674099068833,0.18374764843394678,43.03517284549177,0.0018759084056006335,0,162
7,int_prim,-0.08558786394350681,-0.08679271615773716,-0.06808118297672712,2.839953758533114,0.0004985018068578406,0,92
8,int_prim_sec,-0.04324871723985764,-0.022500046501834733,-0.016790572580351344,0.9856600659197239,0.00021501364768968103,0,46
9,int_sec,-0.0056108866326737995,-0.016233816892207112,-0.011403733355963074,0.8287880865229412,0.0005166929047318156,0,33
10,highway,-0.0068843548397999966,-0.014314538846960597,-0.011602665947109774,0.05240092455718963,0.0003575546493301478,0,26
11,prim_road,-0.02698725274594677,-0.0325572955287946,-0.024134148376750066,0.8971063862309723,0.0008840211300357872,0,45
12,sec_road,-0.04087550878580826,-0.0536083367305069,-0.03504356246608031,2.898280366127686,0.0007131900215735322,0,66
13,farm_pigs,0.032012249722049156,0.03480729645660693,0.028571634979370698,4.982175264436327,0.00011641524363379959,0,52
14,farm_poultry,-0.0434609860512337,-0.012161118551740803,-0.009436637537325281,0.004167194757102272,3.722838989530178e-05,0,21
15,farm_sheep,0.049081574989156086,0.04263723829448911,0.032974673731819275,6.486100396957038,0.0001497080270987388,0,72
16,ndvi,-0.02687833871710637,0.00485854976845568,0.003693852789936113,0.00017637156389127212,0.0022076821629253727,1,58
17,temp_2m,0.0390243194109396,0.1435254632528981,0.09836132378982237,1.1075008977700205,0.01544914339989604,0,119
18,press,0.015978316173388053,0.12001114995003473,0.08401646202952133,0.21175659293646554,0.013416761292144587,1,102
19,aod_047,0.06325917160240803,0.1020944739371842,0.07200277600011482,1.437294632596419,0.0031904977494025158,0,90
20,nh3_cams,0.16150858789033876,0.10920446116475126,0.06631433734237473,17.9906273161408,0.012990451184651353,1,150
21,co_cams,0.07520365536949708,0.09620559882319685,0.061228014499042534,2.492109881601896,0.008989562167579316,1,113
22,pm10_cams,0.08170119833783353,0.16180332663444313,0.09028654823047345,3.1816114639592468,0.007161591317430614,0,114
23,pm25_cams,0.11639232151929964,0.1797516602844869,0.11678896725625695,6.920025357013919,0.003014185125791673,1,152
24,no2_cams,0.12089590193032601,0.13501744030692728,0.0957053386959929,7.1940880966625285,0.017978142952825422,1,159
25,nmvocs_cams,0.05160024114923803,0.03495287812967264,0.04175059315246231,0.6078624978418207,0.03221775218624698,0,82
26,so2_cams,0.10608039292126548,0.10824609283134898,0.07195765139690373,5.663656624265584,0.07257137801720497,1,150
27,o3_cams,-0.2593037628412072,-0.3011556425485925,-0.19270384690945438,45.58369038409214,0.08613952283189248,1,205
28,nh3_int,-0.13938486786967905,-0.1295031843176257,-0.08743250799325565,11.089722455376315,0.022746141259186357,0,152
29,no2_int,0.08672540451058897,0.07741763975525173,0.05761404826825387,4.1171745945736316,0.037102079543024975,1,133
30,nox_int,0.08235465515371924,0.06229347137556702,0.04078341461519031,4.641726581693614,0.12580525514132607,1,137
31,o3_int,-0.33404130373128255,-0.3696831237064689,-0.24702128440446197,80.2689439567532,0.02922277381438001,1,210
32,pm10_int,0.2631136912073062,0.22877709900240636,0.16219022761078833,36.67569324964205,0.07266985639713919,1,202
33,so2_int,-0.1900066535720125,-0.09571104942803862,-0.03684993404619572,20.59751204214626,0.1825057843514478,0,151
34,air_hum_int,0.13890352325258137,0.21384106229183208,0.15104608562552485,9.342995520310218,0.04587281023872222,1,183
35,rad_glob_int,0.10660510564482852,0.02852374942963224,0.033866360969164705,4.1169045599526335,0.06131569193940665,1,128
36,temp_int,0.06001302286872889,-0.046589845092966826,-0.032881911386584285,2.7344695899384632,0.013811243917336654,1,112
37,wind_speed_int,-0.3382826759420903,-0.29938166074591405,-0.20494901803313018,92.55234143377317,0.10624236478756124,1,205
