,Features,0324_0331_2021,0418_0425_2021,0717_0724_2021,0903_0910_2021,1007_1014_2021,General Borda Count
2,slope_mean,164,205,186.0,212,199,179
7,int_sec,193,235,93.0,170,178,156
10,sec_road,183,229,115.0,137,185,152
1,aspect_major,130,123,162.0,149,149,140
35,o3_int,217,211,93.0,89,198,138
24,pm10_cams,188,159,156.0,115,123,137
23,co_cams,218,168,121.0,154,78,135
20,aod_047,204,188,144.0,120,89,131
9,prim_road,105,135,200.0,144,131,130
39,rad_glob_int,162,206,,113,232,125
17,n_wind,168,92,136.0,149,128,124
27,nmvocs_cams,185,146,110.0,111,126,121
36,pm10_int,109,136,118.0,85,229,116
5,int_prim,119,163,48.0,148,166,113
33,no2_int,126,89,106.0,215,129,113
0,h_mean,70,103,191.0,174,100,111
29,o3_cams,144,96,191.0,82,117,109
6,int_prim_sec,101,105,114.0,147,132,105
34,nox_int,132,102,99.0,188,67,101
18,e_wind,127,111,122.0,58,150,101
4,soil_text4,128,212,79.0,105,117,100
11,farm_pigs,77,120,103.0,124,150,99
22,no_cams,131,63,121.0,152,115,99
8,highway,121,65,174.0,167,52,94
31,no2_st,195,85,78.0,77,153,93
15,temp_2m,57,140,88.0,193,92,88
3,pop,91,80,143.0,73,134,86
19,aod_055,139,128,107.0,61,94,85
38,air_hum_int,64,85,189.0,107,112,85
28,so2_cams,88,70,120.0,77,184,84
30,nox_st,118,100,125.0,71,108,81
37,so2_int,128,125,93.0,107,90,81
16,press,44,117,90.0,157,108,77
21,nh3_cams,44,48,126.0,140,105,68
32,nh3_int,114,100,64.0,67,140,68
25,pm25_cams,84,71,93.0,77,132,64
13,farm_sheep,41,52,71.0,164,125,60
12,farm_poultry,87,83,97.0,131,58,58
26,no2_cams,72,75,140.0,54,59,49
14,ndvi,52,145,74.0,56,64,44
