,Features,0324_0331_2021,0418_0425_2021,0717_0724_2021,0903_0910_2021,1007_1014_2021,General Borda Count
16,pm10_cams,182,137,123,147,126,133
28,pm10_int,181,176,140,72,187,133
2,slope_mean,87,129,141,144,174,125
17,pm25_cams,163,142,156,52,142,123
26,nox_int,147,116,101,173,75,109
15,co_cams,134,111,102,146,104,108
27,o3_int,99,76,168,152,94,107
8,temp_2m,67,155,93,162,125,105
13,nh3_cams,121,128,111,135,64,100
32,temp_int,157,125,73,97,132,99
10,e_wind,97,119,57,160,147,98
11,aod_055,109,81,87,123,159,97
19,nmvocs_cams,119,141,143,71,67,95
25,no2_int,137,128,80,88,106,92
0,h_mean,87,83,85,134,137,87
7,ndvi,79,72,97,96,167,85
1,aspect_major,116,109,146,77,56,81
3,pop,83,120,129,82,68,80
23,no2_st,105,86,63,96,133,79
24,nh3_int,162,71,98,103,62,78
18,no2_cams,98,116,124,44,89,75
4,int_sec,117,145,84,58,66,72
9,press,46,77,74,111,138,71
5,sec_road,92,162,92,35,74,69
31,rad_glob_int,46,70,127,107,77,66
22,nox_st,109,63,96,78,83,62
21,o3_cams,66,70,142,62,79,62
12,aod_047,114,63,50,78,131,60
6,farm_sheep,26,55,80,146,132,60
30,air_hum_int,70,57,116,120,50,57
20,so2_cams,50,71,88,79,104,55
29,so2_int,42,43,103,82,70,44
14,no_cams,58,69,58,56,106,38
