,Features,0324_0331_2021,0418_0425_2021,0717_0724_2021,0903_0910_2021,1007_1014_2021,General Borda Count
15,nh3_cams,178,184,175,173,203,170
27,pm10_int,176,148,162,165,163,157
18,pm10_cams,142,160,146,146,164,155
11,press,99,154,149,118,152,139
32,temp_int,116,129,117,131,170,135
0,h_mean,109,135,121,129,154,133
19,pm25_cams,136,156,108,116,142,133
30,air_hum_int,83,152,149,102,172,130
26,o3_int,161,131,136,108,96,124
28,pm25_int,167,98,78,146,150,122
10,temp_2m,91,102,109,112,140,112
31,rad_glob_int,76,104,120,137,75,101
2,slope_mean,81,97,106,103,132,100
17,co_cams,116,119,84,59,116,98
23,o3_cams,88,140,89,72,80,92
14,aod_047,138,64,99,51,92,85
9,ndvi,135,72,29,89,125,85
12,e_wind,0,0,167,105,125,82
21,nmvocs_cams,91,119,90,54,37,77
33,wind_speed_int,0,118,140,0,119,73
1,aspect_major,51,78,93,55,90,71
25,nox_int,113,66,69,94,35,69
20,no2_cams,85,74,52,40,102,64
29,so2_int,74,91,55,74,67,63
13,aod_055,0,0,89,117,80,59
24,no2_int,67,63,80,67,47,56
22,so2_cams,32,68,62,43,98,54
3,pop,22,25,56,56,92,46
6,int_sec,59,48,68,36,66,39
8,farm_sheep,50,51,69,49,33,38
4,soil7,64,50,51,0,71,35
7,sec_road,46,59,50,43,57,34
16,no_cams,38,28,0,0,49,22
5,int_prim_sec,0,0,0,0,76,22
