,Features,0324_0331_2021,0418_0425_2021,0717_0724_2021,0903_0910_2021,1007_1014_2021,General Borda Count
15,nh3_cams,180,177,174,175,193,169
27,pm10_int,181,139,159,168,119,150
18,pm10_cams,160,155,70,169,131,135
30,air_hum_int,79,142,157,84,169,126
0,h_mean,102,148,158,70,156,125
21,nmvocs_cams,85,87,143,141,162,122
22,so2_cams,109,103,120,158,117,120
7,farm_sheep,101,117,156,109,114,119
28,pm25_int,173,102,71,126,89,112
26,o3_int,171,94,125,104,82,111
12,aod_055,123,132,22,96,162,109
25,nox_int,113,72,122,78,142,105
19,pm25_cams,121,154,36,116,81,103
13,aod_047,140,123,32,63,161,101
17,co_cams,117,103,124,105,50,96
24,no2_int,85,76,134,63,113,89
31,rad_glob_int,87,62,81,160,77,89
10,press,53,120,129,47,115,89
8,ndvi,138,102,88,71,52,86
20,no2_cams,74,31,101,120,113,85
14,ch4_s5p,92,0,145,0,167,84
4,soil7,104,66,39,109,71,77
3,pop,45,40,77,108,122,77
6,sec_road,36,39,88,105,78,65
32,temp_int,60,85,71,73,50,63
23,o3_cams,73,91,48,94,48,61
16,no_cams,42,70,0,0,123,49
29,so2_int,48,51,37,34,81,45
2,slope_mean,55,44,56,42,68,45
9,temp_2m,0,0,96,62,60,42
1,aspect_major,46,54,51,23,62,40
5,int_sec,22,30,66,53,71,39
33,wind_speed_int,0,0,0,0,127,29
11,e_wind,0,0,0,50,44,18
