,Features,0324_0331_2021,0418_0425_2021,0717_0724_2021,0903_0910_2021,1007_1014_2021,General Borda Count
38,pm10_int,241,259,216,236,256,218
28,pm25_cams,219,214,150,199,219,193
27,pm10_cams,242,189,128,198,183,179
23,nh3_cams,232,241,137,171,164,176
37,o3_int,173,106,240,254,165,171
26,dust_cams,121,100,244,248,198,162
0,h_mean,146,132,125,205,239,158
43,temp_int,212,218,91,154,164,154
2,slope_mean,143,147,143,171,184,151
33,co_int,148,170,213,154,107,147
34,nh3_int,240,118,162,143,160,145
14,press,128,179,106,167,200,145
17,soil_moist,156,209,174,161,62,143
12,temp_2m,120,158,96,169,235,138
29,no2_cams,162,161,160,55,205,138
15,n_wind,204,182,182,142,35,138
31,so2_cams,140,86,167,151,217,136
35,no2_int,192,175,130,107,158,135
32,o3_cams,124,145,240,133,142,134
25,co_cams,209,173,116,79,170,129
36,nox_int,200,122,131,127,123,124
44,wind_speed_int,156,164,255,83,63,124
30,nmvocs_cams,139,181,112,92,163,119
9,soil_text9,160,159,136,115,90,117
16,e_wind,43,83,118,214,223,116
8,soil_text4,112,178,181,81,94,112
40,air_hum_int,115,153,183,101,74,111
21,co_s5p,70,118,85,152,186,105
19,aod_047,160,119,122,70,145,102
4,dsf2,81,51,143,181,119,102
7,soil_text3,23,108,193,142,105,101
20,uvai,109,69,167,181,64,101
39,so2_int,101,94,171,99,103,92
13,prec,101,67,109,152,146,88
42,rad_glob_int,78,75,123,122,127,81
22,o3_s5p,71,44,54,157,161,78
24,no_cams,81,99,101,33,181,77
11,ndvi,45,81,18,114,153,59
41,prec_int,0,208,0,0,100,58
5,dsf11,50,103,57,92,41,49
6,dsf12,63,96,73,35,63,40
3,pop,45,102,49,74,37,36
18,no2_s5p,0,0,70,88,84,33
1,aspect_major,52,33,15,85,73,32
10,sec_road,69,71,54,53,29,28
