,Features,0324_0331_2021,0418_0425_2021,0717_0724_2021,0903_0910_2021,1007_1014_2021,General Borda Count
30,pm25_cams,250,226,220,218,193,210
40,pm10_int,262,242,108,229,258,196
29,pm10_cams,244,221,204,199,112,179
39,o3_int,176,175,129,256,226,171
32,nmvocs_cams,153,203,200,150,186,167
44,temp_int,199,251,134,152,180,166
33,so2_cams,204,186,152,95,198,157
45,wind_speed_int,161,165,271,158,138,155
27,co_cams,213,169,197,187,92,153
28,dust_cams,119,91,271,270,147,151
22,co_s5p,164,105,183,155,183,147
35,co_int,130,198,220,182,99,145
31,no2_cams,158,169,187,164,121,142
25,nh3_cams,260,252,74,177,66,139
37,no2_int,184,167,167,82,163,136
41,so2_int,179,156,215,154,69,135
15,n_wind,230,82,137,199,126,130
24,o3_s5p,102,184,230,93,126,126
16,e_wind,118,110,158,193,140,125
20,aod_047,177,119,178,81,151,124
9,soil_text4,142,181,176,76,145,124
2,slope_mean,93,142,98,151,197,121
38,nox_int,194,136,163,118,105,120
36,nh3_int,256,99,240,70,86,118
18,no2_s5p,131,73,185,150,150,117
26,no_cams,72,74,145,202,153,115
13,prec,51,79,138,185,199,114
42,air_hum_int,156,164,168,142,70,112
34,o3_cams,119,122,109,138,156,111
7,soil7,141,175,82,67,179,110
19,aod_055,184,0,181,75,172,110
43,rad_glob_int,125,63,149,97,257,108
0,h_mean,85,100,150,191,105,104
21,uvai,177,55,200,126,100,103
17,soil_moist,196,218,106,69,59,101
8,soil_text3,49,143,71,147,178,98
12,temp_2m,46,126,17,191,144,89
14,press,25,107,89,199,103,85
4,dsf2,38,42,35,149,150,62
5,dsf11,72,73,57,112,127,61
3,pop,59,83,62,108,117,59
1,aspect_major,69,28,47,108,143,56
11,ndvi,79,71,34,25,138,45
10,sec_road,109,110,33,67,65,45
6,dsf12,58,84,64,86,30,42
23,ch2o_s5p,77,0,52,43,0,21
