Scores,Variables
0.04235816510190276,left
0.02871802524205786,bottom
0.036497053197338175,right
0.024993185735357342,top
0.03865284066874016,lng_cen
0.018863195653835037,lat_cen
0.012298684259259635,dsfSum
0.0063736755274055625,siarlSum
0.0,soil
0.0007355274850135015,soilSum
0.006968118856091549,soilTextSum
0.012297771543578176,soil_moist
0.004372063112264594,ndvi
0.006984013998670475,temp_2m
0.007631704402646091,prec
0.009711660248781387,press
0.3333855862311744,n_wind
0.11488752927739462,e_wind
0.0070343368800122215,no2_s5p
0.0026135508595466106,so2_s5p
0.0020746203165682075,aod_055
0.009660928753577592,aod_047
0.002704432712860811,uvai
0.008813793924854738,co_s5p
0.002657148812035798,form_s5p
0.026962565154962558,ozone_s5p
5.6014849172871244e-05,highway
0.00768289917594102,prim_road
0.007562665840634688,sec_road
0.003987655887884995,farms
0.09068108617767189,co_int
0.0815150194883274,amm_int
0.01167532205441541,no2_int
0.01910451668328948,nox_int
1.0,ozone_int
0.0385655574818053,pm10_int
0.07334208079179033,so2_int
0.02797177469162739,air_hum_int
0.02151475944351991,prec_int
0.01994764773150661,rad_glob_int
0.009364431858677032,temp_int
0.059891453935807026,wind_dir_int
0.10453935014713855,wind_speed_int
