Scores,Variables
4.789618671223238e-05,temp_2m
2.6382782346971805e-05,e_wind
6.276530870558735e-05,n_wind
2.9658221335265765e-05,prec
2.0421637648811702e-05,press
1.5840013621126187e-05,aod_055
2.2074200989922665e-05,aod_047
4.480785924562481e-05,uvai
1.0,pm10_cams
2.1090808338018598e-05,so2_s5p
6.555649291920699e-05,no2_s5p
3.8125450710105656e-05,no2_cams
4.544953867270499e-05,no_cams
2.6510426505835835e-05,co_s5p
0.025881218618628,co_cams
3.767118303377351e-05,ozone_s5p
8.349708110951253e-05,ozone_cams
2.2471677826796237e-05,form_s5p
2.48242289656999e-05,amm_cams
2.408728766179859e-05,ndvi
3.223220515654198e-05,soil_moist
2.3123012590939313e-05,pop
5.953831168934273e-06,prim_road
1.0073088737301661e-05,sec_road
0.0,highway
1.673557391726654e-05,farms
