Scores,Variables
0.8577752886019857,left
0.5202732240704905,bottom
0.8577752886019857,right
0.5202732240704905,top
0.8568959481372552,lng_cen
0.5199952881510932,lat_cen
0.0,dsfSum
0.007136516286040617,siarlSum
0.4004506283547919,soil
0.25268852595631713,soilSum
0.01142885006865485,soilTextSum
0.43663703205358334,soil_moist
0.48649226345487956,ndvi
0.3296495634253358,temp_2m
0.5828996881522102,prec
0.2764683561541578,press
0.9048254801509876,n_wind
0.6926855640640824,e_wind
0.2626827596176135,no2_s5p
0.28619630466979173,so2_s5p
0.36722122305396326,aod_055
0.3530560557054411,aod_047
0.4408002363320905,uvai
0.25553191149736776,co_s5p
0.3956071055897836,form_s5p
0.5151874069943421,ozone_s5p
0.27901637788163536,highway
0.03872085952629245,prim_road
0.039708213369069156,sec_road
0.08223463956650068,farms
0.8440002628202365,co_int
0.8436561963509385,amm_int
0.21231142851237012,no2_int
0.1931182539666904,nox_int
0.9189322053922101,ozone_int
0.6333627703159331,pm10_int
0.7252113142950638,so2_int
0.9892593917167438,air_hum_int
0.13191456351971154,prec_int
0.9131232165022269,rad_glob_int
0.22967531632961471,temp_int
1.0,wind_dir_int
0.9939214923757334,wind_speed_int
