0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
-212025913.08157715,-2361565698.4217916,4283094672.6905746,6357932819.3201885,-1382484169.5253024,-3870583503.4498777,-2185455078.6409307,-138390996.57437235,-34731410.75880211,-280987693.633666,-9920519.867115462,-332865743.5810909,45736415.687937796,196036141.81231445,1092280400.6566572,-230502191.30708176,21068609.60268697,84571242.63103388,-145421614.84524074,4373287.179999711,4926223.361042555,28746216.343898945,-1139077.1565156681,-16882628.357951194,-40579562.104979165,72773.98208917025,-63465249.22896796,20062593.746458154,37411329.580732584,-35345553.813145146,14678015.756835606,-78574689.08838512,-6859828.679406608,-60886520.155503616,-26326360.53178233,1705021.8927864088,-9359285.577575915,40316289.02145133,-6492409.119945431,63415532.28930645
-212017294.8195584,-2361535545.2133574,4293676151.4348736,6357019853.907896,-1381365139.0172167,-3867732557.1340017,-2186068292.3679037,-135117123.94533598,-31415576.407846496,-245068273.4191962,-9805855.023769774,-315898319.90593123,46911158.59107979,189264708.62843287,1079093264.6758852,-230021661.22505403,21066710.002840325,84380001.87058939,-137921070.46838588,4366574.742464346,5032464.408983356,27173902.100402914,-1162513.722269882,-18620869.78966039,-40601636.68385202,379366.93388355477,-63393276.16246665,18894375.88892635,37062211.88046466,-35340630.100883305,14677994.39472505,-78557127.38091621,-6863732.8685564,-60933002.54055986,-26337108.96911075,1594833.1390306712,-9470458.176737841,40300469.26087446,-6499440.71307073,63412285.2941738
-212008346.15730563,-2361414697.2823772,4312689695.563482,6355874924.583534,-1379806979.978793,-3863105331.765333,-2186007631.793122,-131245530.47426867,-27499463.442713827,-108367422.3380759,-9538275.674730916,-274819436.40347946,42772888.08735997,174058577.57364768,1049065540.0000596,-229529454.63195357,21064931.60204999,83710640.90023713,-128135288.11117911,4359610.0584515035,5193643.029653709,25670391.423487443,-1186519.1964265725,-22531459.668445036,-40623929.03016711,534848.0187961236,-63363670.46434108,16669274.110461231,36787329.58436921,-35335647.715645276,14677867.811118098,-78538962.24758111,-6867763.1726807635,-60926852.08270043,-26348018.490758114,1482738.7114861798,-9640763.761565648,40284596.180543214,-6506467.573187662,63408245.33392541
-211999056.37399265,-2361333496.925378,4335337968.474238,6350653195.225464,-1378173911.5649648,-3857229284.854969,-2186181505.438282,-126116051.16822365,-22232114.82578307,-1998157.4072832987,-8123057.17054902,-224287663.915143,37904120.544183604,153498299.55365574,1023012825.0753355,-229421210.08957022,21063290.24345462,83051458.12849663,-114854852.36061025,4352383.213420785,5307378.106392105,24312724.047740586,-1211051.9241250362,-32402776.725730017,-40646395.47239799,772196.5281449741,-63238294.64975686,14816847.178214941,36465837.94656207,-35330612.88599972,14677624.254400428,-78520181.28626123,-6871917.706268784,-60976803.93985537,-26359052.176866762,1368170.44851591,-9984156.672617313,40268702.57049101,-6513475.466418126,63396714.02881977
-211989415.12622294,-2361207791.832106,4351142773.1385,6342702455.971263,-1376151814.2228682,-3848793140.344263,-2186929830.3630133,-120461456.94829626,-16400623.052626012,62807453.58262789,-3514442.6752698803,-184141425.63857296,31335157.628655285,130911252.56655478,1013752862.988668,-232214471.55070665,21061803.069681097,82443084.66119029,-101018496.64216182,4344884.145727852,5403962.234890986,22845709.44467349,-1236057.816430247,-49887021.83264159,-40668984.94817684,708508.8817434013,-63126568.35548661,11328452.69781984,36096202.8607883,-35325533.149806894,14677250.716318363,-78501247.8948235,-6876193.201264598,-61015950.55976544,-26370164.719906744,1258383.0131185155,-10167544.191979587,40252825.203063324,-6520448.644163404,63381308.921163335
-211979449.24467322,-2361109459.695003,4355200370.932898,6327966643.657356,-1375006248.8662431,-3837852788.477224,-2189399181.955892,-114787055.8842797,-10461707.676346667,-267339385.38742536,10628816.590002235,-158066827.10990298,25081650.689477373,114776025.08364242,1017083420.9314916,-237550999.07739642,21060488.579432264,81684022.3933034,-87511908.96066195,4337102.701963572,5523285.420409623,21748537.652818494,-1261468.5280104326,-67765801.69821504,-40691638.18868834,750242.5294978183,-62821913.999876656,7327460.6465445785,35643999.560694404,-35320417.55758767,14676732.791789403,-78483272.6597254,-6880584.771882868,-61097905.57350304,-26381301.29025516,1148301.3033711016,-10564931.552068679,40237005.12488467,-6527369.737383854,63375731.334983744
-211969146.57619977,-2361146536.634081,4345516720.763935,6310738017.279462,-1376303675.256619,-3823950592.801276,-2194061900.4795256,-109448919.47373953,-4808293.487381637,-289154477.17913604,30688803.77219651,-140191626.53426355,18737940.418256987,101791206.12289621,1023904029.796552,-243512984.26831147,21059366.676489737,82536188.69666368,-76691627.7558059,4329028.705516429,5624415.801889189,20892046.328659333,-1287199.5230151573,-73023448.36747646,-40713730.44701704,-497165.0820572522,-62443459.82839519,1189507.409574524,35102467.73134011,-35315276.90612727,14676109.311595105,-78460606.37795803,-6885085.6581198,-61127059.436294526,-26392396.359369326,1052448.375568654,-10959285.198138274,40221844.44396973,-6534219.649917103,63367441.68459521
-211958332.14869565,-2361353505.0386763,4334736979.945439,6292909347.4925,-1377947667.4121666,-3806408209.084901,-2199370608.0909576,-104387711.15919477,524041.70210484206,-309935690.1951521,37581684.453384146,-111163754.88243352,9303927.887669161,93619319.69811013,1007220385.0436382,-247982892.32385448,21058458.70838648,85644750.13635632,-67054444.16066232,4320652.040551718,5717532.209274793,20465284.82583616,-1313148.0685748777,-71195205.77737762,-40734003.045016386,-2390507.5753402105,-61658994.95865416,-5055061.895690101,34455262.34474227,-35310124.00665946,14675448.014053907,-78438752.19344318,-6889686.950308804,-61226813.04592225,-26403372.518728524,973515.2106309151,-11601985.3084344,40208555.79724866,-6540977.452274631,63359041.03334032
-211946983.3828225,-2362018237.4695244,4343641352.427486,6274522649.963085,-1378626869.4372387,-3785577970.3347054,-2204005595.720709,-99724491.3792603,5400104.131909273,-676087246.9739413,40534266.4760727,-67273150.50096765,-5312634.866314157,88983567.60992905,956475014.0860094,-249378742.8565513,21057787.49154388,90785361.36649019,-58142669.71412109,4311962.753880891,5749379.214630571,20537029.88361235,-1339191.214058598,-66086298.15552502,-40754010.53763592,-5639226.492543038,-60470630.82447179,-12440315.127900477,33565917.19642259,-35304973.99252491,14674543.306518743,-78416808.31396896,-6894377.298777589,-61335125.42647587,-26414139.348772556,906913.8418380893,-12370732.620675376,40195543.7662567,-6547620.277687636,63347424.65652294
-211935078.34425622,-2363022721.523841,4379172720.749229,6255392303.275233,-1374212228.2495923,-3762246969.305644,-2205100897.951494,-95453941.33068898,9841235.85823728,-2603712934.145347,39762613.91217017,-33024216.98373673,-19742922.216000095,85284529.80256456,896450494.2115296,-246628171.50937137,21057377.31918025,96346826.18047538,-50604887.405001625,4302951.177490093,5610549.180091938,20506743.609722953,-1365183.8367852678,-62693947.930243,-40773676.49502254,-9056359.300886009,-58267432.244217575,-19500678.344980683,32414634.70107255,-35299844.67178168,14673362.544103999,-78394237.96272965,-6899142.614795524,-61408848.43373585,-26424592.4111632,858887.9939256449,-13359594.97769447,40182852.066478275,-6554123.2225440685,63336001.37816151
-211922596.244946,-2364295771.8527594,4419360418.022349,6234053251.239801,-1340180932.4694674,-3737887886.481806,-2190970531.138442,-92477779.75335482,12973232.654682074,-5534846242.67757,36390328.003070906,-31090254.235350184,-28625826.956274122,78354267.53035317,851553684.9838405,-237301230.17078036,21057253.94779876,100897196.3346577,-45568630.51552917,4293608.074801037,5509177.916420798,19480546.231800266,-1390956.8610377975,-59609305.28828875,-40792917.92472646,-12829240.226519512,-54194065.37675884,-24362469.248043217,31104738.923759244,-35294756.93085261,14671868.734106252,-78388471.16488558,-6903965.771575162,-61562512.12943865,-26434612.45937888,826514.4618008803,-14772345.722950699,40170526.62755873,-6560459.2537691165,63324783.69454083
-211911404.0380197,-2365823762.883606,4354479294.765032,6209599433.039442,-1164565318.72196,-3713490156.507292,-2115270638.157267,-90949759.77207525,14662843.392692506,-9651258730.00193,32075855.150767338,-55346467.016509876,-31656178.1628444,67480205.69523317,818077273.67361,-202264951.30587217,21057444.55756961,104438265.11985748,-43243868.05085081,4283924.81404014,5010881.132417702,17985864.839125462,-1416315.7861594572,-55472049.156683624,-40811645.14886123,-16879922.240503613,-47323297.39947471,-27078652.075499326,29669638.458527174,-35289735.195896074,14669569.920600563,-78368628.16739082,-6908826.317089639,-61690467.24780345,-26444064.98581614,791784.4649178775,-16289093.626035212,40158615.49101507,-6566599.126148005,63313638.50240685
-211900330.0392891,-2367681626.592046,3074586444.9788647,6183151120.7828455,-658842756.621515,-3689534414.4242053,-1905273317.6935894,-90445884.3839088,15342356.648379058,-14083246107.308514,28052564.610125452,-95595887.34380072,-32589848.37156093,55610850.57271195,779750736.6154904,-76284623.11481155,21056961.396090515,107039377.75298135,-42688832.030564845,4280880.652505658,4378087.113463666,17227578.50739704,-1425450.790128553,-51835974.66285032,-40817244.89161057,-20239777.131172616,-37130467.74297427,-28543488.33166323,28163906.459292024,-35288615.75527186,14667062.385615494,-78361505.99707612,-6907044.420471301,-61864923.975309074,-26454136.714455415,794056.1012939529,-17618187.855091464,40159501.82853139,-6577055.216884628,63303079.51243767
-211889349.79501992,-2369698767.0573997,1700561436.679397,6157029226.513159,-170155398.42594516,-3665421460.174897,-1711350189.5531013,-88189988.19327947,17819012.268259823,-17709475586.53483,24590310.100222394,-136941986.376254,-32873111.136122316,45394393.8200429,645602781.0665324,88245570.21419363,21056691.438964278,106481158.69246013,-42504186.52219173,4277158.058373571,3738851.3987452458,17123910.411571987,-1435502.4786024794,-49853729.20300931,-40823509.44195732,-21794224.851605304,-25040480.565692097,-29510114.96213948,26614316.465787362,-35287266.94835316,14664486.038152624,-78353833.46040592,-6905613.34544457,-62049269.021941334,-26463655.098336056,800317.7248848542,-18475904.042807877,40159624.95965944,-6586933.023951051,63293748.84237945
-211878411.12342876,-2371734307.3601136,1532076097.731915,6132783525.770586,-14781538.234777695,-3640912947.9002504,-1653865029.4912398,-81837679.58161387,24479497.91633913,-18149305964.30771,20146179.44678474,-162274843.900596,-32498351.718006987,34349249.36822285,109919418.58056086,143256145.26383552,21055362.486970544,99451340.36610547,-42319837.70426169,4280034.014505448,3125580.8385221865,17130059.60451127,-1430805.2403748522,-47515454.099478394,-40817400.12710414,-22041641.499219984,-12805893.213276556,-30244652.768028207,25025454.25078126,-35290126.383867055,14661693.361100845,-78360991.1748522,-6897459.529456217,-62274206.28000127,-26473082.842515375,841312.6504912523,-18915550.518492825,40171905.30876497,-6600812.856606622,63284991.6606253
-211870524.94504708,-2373755545.417238,1490646903.3849466,6110560475.604757,12510686.712485995,-3616553082.6630583,-1643800332.5650368,-70546699.8405108,36197979.358533815,-15061448361.29936,15820057.095583199,-162458560.0898624,-31823495.746388692,8431524.316584423,-343572229.7259361,148932706.57855755,21053995.32991373,86647401.6716224,-42317610.9850862,4282549.470545518,2638967.325656187,17173615.195329778,-1426845.0130670387,-45087239.5658229,-40811476.19812029,-21744742.066328026,-2007675.5292699162,-30795989.808561895,23355438.090506453,-35293349.95009241,14658234.68049585,-78352326.1481075,-6889273.800447628,-62483965.558445245,-26481121.94613441,871459.5504699234,-19146004.489279628,40183902.826141946,-6614074.3878736375,63276304.987035334
-211863004.96977124,-2375723900.2314444,1481498753.9606562,6090595605.718115,12647971.71835313,-3592133107.9621406,-1645221889.1234233,-52507988.840958424,54782600.616387635,-12214741452.283537,13513721.355782112,-160939470.27124327,-30950790.065295868,-58893687.097419836,-422021717.30647767,161553700.7996472,21052603.65560301,73217668.57563491,-42450558.151386425,4284741.319585802,2269549.730065271,17237838.05439035,-1423525.1780303975,-43089131.75042388,-40805741.431544475,-21274079.888794124,6346469.732073732,-30943425.292610988,21596268.80747501,-35296893.170178324,14654498.15941426,-78365034.37895656,-6881112.142205908,-62744765.174301125,-26487917.63718565,907440.5471204459,-19358146.046665516,40195591.09078181,-6626726.723815774,63267707.374043286
-211855837.85982034,-2377437236.1942787,1487639065.8000257,6074987600.627729,7555674.703157689,-3567264270.7117076,-1650039507.1053424,-28011018.929881185,79873959.17668198,-11445795553.230663,12426898.487032343,-177141427.16785944,-29806686.03598451,-79125718.41509095,-440019582.32089615,167409771.78736052,21051198.709373366,65216919.92309365,-42493121.82522313,4286642.71921812,2008715.4052204136,17378423.881951123,-1420761.9937348834,-41311621.77839012,-40800197.00035748,-20680042.58973883,12595358.338150099,-31128161.19062438,20062058.547009923,-35300715.736500636,14650520.029629504,-78378402.32613382,-6873018.553875057,-62987709.0534918,-26493602.978352882,951343.386077292,-19492710.074237093,40206952.744965464,-6638784.573905908,63259192.522329256
-211849009.57424033,-2378692816.4125433,1476773734.333016,6063141367.952951,2332679.1185766663,-3543259946.2233973,-1654272366.717422,-1069677.063974942,107384544.8897107,-10731174290.26712,9633573.637054758,-188905341.2835517,-28321410.198835965,-78503020.29902655,-427915288.64292693,165463344.53444985,21049789.684967313,65165347.334135175,-42535716.219657205,4288283.449804496,1835653.369549154,17717160.12783684,-1418482.872231819,-39642033.13145937,-40794842.05353589,-19912330.642757736,17955609.626096692,-30810480.106749166,18921813.14891292,-35304781.17340159,14646332.917740338,-78393022.29950242,-6865027.254277314,-63237492.01858276,-26498299.155951798,993128.6914968418,-19558648.275466755,40217977.52323403,-6650266.639048845,63247976.10049071
