Scores,Variables
0.5003065043428968,left
0.0926870943909946,bottom
0.5003065043428968,right
0.09268709439099537,top
0.5003065043428968,lng_cen
0.09268709439099498,lat_cen
0.39828292470995075,dusaf
0.5985787823920176,dusafSum
0.8680543351408778,dsf2
0.11422593449094365,dsf3
,dsf4
,dsf5
,dsf11
,dsf12
,dsf13
,dsf14
0.5497030260454021,dfs4
0.48548380442187233,dfs5
0.7329591690245679,dfs11
0.767332233691054,dfs12
0.6716711040898841,dfs13
0.683773759598651,dfs14
0.6059356252390198,siarl
0.5983237622259436,siarlSum
0.7561292149387492,siarl2
0.8306013921921395,siarl9
0.5529030477751239,siarl12
0.021953350984804443,h_mean
0.7059445708329094,aspect_mean
0.005376508523428969,slope_mean
0.4065743834864613,soil
0.5338917214740393,soilSum
0.5260312570484332,soil1
0.5347184551985785,soil2
0.5438202188924446,soil4
0.5731456962996873,soil5
0.5064417022459473,soil6
0.45806776384428227,soil7
0.6274356412504191,soil8
0.30080877829694397,soil9
,soil11
0.21192853407850204,soil_text
0.5989291050617458,soilTextSum
0.5150544575899831,soil_text1
0.5556917674989353,soil_text2
0.5861358853410269,soil_text3
0.7041958283957265,soil_text4
0.684332357301153,soil_text5
0.5728527057088784,soil_text6
0.5911943942180273,soil_text7
0.4255938418361813,soil_text8
0.1621753495083838,soil_text9
0.5124335900416156,soil_text10
0.6964836674703119,soil_moist
0.8441045770060354,ndvi
0.9425999514260185,temp_2m
0.18997197548962325,prec
0.9604295356897647,press
0.45259711088912846,n_wind
0.7007700215712247,e_wind
0.9503607297168268,no2_s5p
0.8046529521406055,so2_s5p
0.9023304401368383,aod_055
0.9022652555981485,aod_047
0.34606200217291266,uvai
0.9549397772771192,co_s5p
0.8441425822815933,ch2o_s5p
0.5113012343570553,o3_s5p
0.8942764684624971,nh3_cams
0.8219983330500491,no_cams
0.9801532554295646,co_cams
0.0550772370924697,dust_cams
1.0,pm10_cams
0.9392190438781453,no2_cams
0.9592023826396348,nmvocs_cams
0.8883141904684704,so2_cams
0.0,o3_cams
0.6393153084132692,pop
0.7632841170272259,int_prim
0.8018728179858661,int_prim_sec
0.7898392470341384,int_sec
0.6784646192046632,highway
0.7296126349397268,prim_road
0.8090529590129514,sec_road
0.8357625378812403,farms
0.7220073828309945,farm_pigs
0.7482105470128444,farm_poultry
0.5018924335132565,farm_sheep
0.7428791080949948,co_int
0.5953090042581309,nh3_int
0.7843386746058624,no2_int
0.7379397006449908,nox_int
0.1453182675416545,o3_int
0.8952439143617632,pm10_int
0.5549708509102389,pm25_int
0.5312991134798726,so2_int
0.8359226863451901,air_hum_int
0.42545950786120096,prec_int
0.438419910772587,rad_glob_int
0.9278481640502247,temp_int
0.7192095500053094,wind_dir_int
0.28257510135462927,wind_speed_int
