Variables,isSelected,Ranking
left,False,36
bottom,False,26
right,False,4
top,False,34
lng_cen,False,25
lat_cen,False,2
dsfSum,False,33
siarlSum,False,15
soil,False,35
soilSum,False,27
soilTextSum,False,38
soil_moist,False,8
ndvi,False,10
temp_2m,False,23
prec,False,20
press,False,31
n_wind,False,24
e_wind,False,19
no2_s5p,False,22
so2_s5p,False,21
aod_055,False,32
aod_047,False,14
uvai,False,13
co_s5p,False,29
form_s5p,False,11
ozone_s5p,False,5
highway,False,37
prim_road,False,28
sec_road,False,39
farms,False,30
co_int,True,1
amm_int,True,1
no2_int,False,6
nox_int,False,18
ozone_int,True,1
pm10_int,False,7
so2_int,False,17
air_hum_int,False,16
prec_int,False,12
rad_glob_int,True,1
temp_int,False,9
wind_dir_int,True,1
wind_speed_int,False,3
