Scores,Variables
0.0,dsfSum
0.0011119419010340859,siarlSum
0.39088703979982375,soil
0.23852487893227467,soilSum
0.005871835921066992,soilTextSum
0.41797378203558916,soil_moist
0.46051425409009816,ndvi
0.2861201353016304,temp_2m
0.5879109497941675,prec
0.23804161189373013,press
0.938212217743328,n_wind
0.6647255663350596,e_wind
0.2245536682172102,no2_s5p
0.25078837750888694,so2_s5p
0.333333721363857,aod_055
0.31741158664598795,aod_047
0.4264647873189819,uvai
0.21792616717503416,co_s5p
0.3680855978189025,form_s5p
0.5181473009943826,ozone_s5p
0.27659359058196376,highway
0.029786025867594157,prim_road
0.02043970778843468,sec_road
0.057251118386994815,farms
0.8500422649447751,co_int
0.8582910958907722,amm_int
0.16834165193833872,no2_int
0.1551511935821977,nox_int
0.9294748919360256,ozone_int
0.6016594763062836,pm10_int
0.7307137489880304,so2_int
0.9863794068511524,air_hum_int
0.08221672371155614,prec_int
0.9251527988283252,rad_glob_int
0.1848949952629706,temp_int
0.9957990581772836,wind_dir_int
1.0,wind_speed_int
