Variables,Scores
left,0
bottom,0
right,0
top,0
lng_cen,0
lat_cen,0
dusaf,0
dusafSum,0
dsf2,0
dsf3,0
dfs4,1
dfs5,1
dfs11,1
dfs12,1
dfs13,1
dfs14,1
siarl,0
siarlSum,1
siarl2,1
siarl9,1
siarl12,1
h_mean,0
aspect_mean,0
slope_mean,0
soil,0
soilSum,0
soil1,0
soil2,0
soil4,0
soil5,0
soil6,1
soil7,0
soil8,0
soil9,0
soil_text,0
soilTextSum,0
soil_text1,0
soil_text2,0
soil_text3,0
soil_text4,0
soil_text5,0
soil_text6,0
soil_text7,0
soil_text8,0
soil_text9,0
soil_text10,0
soil_moist,1
ndvi,0
temp_2m,0
prec,1
press,0
n_wind,1
e_wind,1
no2_s5p,1
so2_s5p,1
aod_055,0
aod_047,0
uvai,1
co_s5p,1
ch2o_s5p,1
o3_s5p,1
nh3_cams,0
no_cams,0
co_cams,0
dust_cams,1
pm10_cams,0
no2_cams,0
nmvocs_cams,0
so2_cams,0
o3_cams,0
pop,0
int_prim,0
int_prim_sec,0
int_sec,0
highway,0
prim_road,0
sec_road,0
farms,0
farm_pigs,0
farm_poultry,0
farm_sheep,0
co_int,1
nh3_int,0
no2_int,0
nox_int,0
o3_int,0
pm10_int,0
pm25_int,0
so2_int,0
air_hum_int,0
prec_int,1
rad_glob_int,0
temp_int,0
wind_dir_int,0
wind_speed_int,0
