fid,quadkey_L4,pop,dusaf,rete_fer,autostrad,strade_pri,strade_sec,h_mean,st_ferrov,st_metro,int_prim,int_prim_s,int_sec,scn,dsf11,dsf12,dsf13,dsf14,dsf2,dsf3,dsf4,dsf5,dsfSum,lat,lon,mov_tot,FBpop_tot
"1","120221302233",488.048492699862,3,6742.77019400704,0,17330.1999677273,10775.8173358245,474.479111030886,4,0,0,8,6,7764,21648,4277,133,123,14702,622220,0,330761,993864,46.0967310451164,8.7451171875,785.214285714286,681.222413155553
"2","120221302322",165.065013170242,3,0,0,7541.95412584897,3046.03967609535,1193.1422093979,0,0,0,1,1,3272,9365,503,0,62,9679,465387,0,0,484996,46.0967310451164,8.8330078125,220.666666666667,568.844199510019
"3","120221302331",218.771487774793,3,0,0,0,0,1486.73872428411,0,0,0,0,0,289,0,0,0,0,0,165124,0,27,165151,46.1581422575621,9.0966796875,0,645.345699723539
"4","120221302333",791.688678447157,3,0,0,9845.516063441,5765.98015018936,1374.06424409518,0,0,0,3,1,7618,13314,0,0,94,62922,1080166,0,11,1156507,46.0967310451164,9.0966796875,294.714285714286,234.390194177594
"5","120221303001",109.326308608055,3,0,0,0,0,2103.98382720945,0,0,0,0,0,0,0,0,0,0,0,45996,0,653,46649,46.5266095322365,9.2724609375,15.2142857142857,0.551082021921874
"6","120221303003",0,3,0,0,0,0,2434.07904557565,0,0,0,0,0,1314,1039,290,0,0,12405,925255,0,960,939949,46.4651983197908,9.2724609375,0,0.970102058234375
"7","120221303010",486.201759338379,3,0,0,1470.53966883893,0,2237.79341380382,0,0,0,0,0,258,0,233,0,0,0,177517,0,1452,179202,46.5266095322365,9.3603515625,120.261904761905,11.9205851252468
"8","120221303011",48.811340469867,3,0,0,0,366.443406930666,2095.01937589015,0,0,0,0,0,61,60,0,0,0,0,66659,0,0,66719,46.5266095322365,9.4482421875,0,0
"9","120221303012",379.82437392557,3,0,0,13074.5134412149,12609.2494322087,2047.57272723428,0,0,0,7,10,12396,23085,1693,3401,614,112275,1352630,0,49096,1542794,46.4651983197908,9.3603515625,67.1111111111111,26.8673803948717
"10","120221303013",1.27978198882192,3,0,0,0,7251.32327143247,2259.22196680279,0,0,0,0,3,1205,269,0,0,0,0,824236,0,104779,929284,46.4651983197908,9.4482421875,0,0.270601542718519
"11","120221303021",666.045505255461,3,0,0,0,0,2011.19029607388,0,0,0,0,0,271,633,0,0,0,11512,823824,268,3195,839432,46.403787107345,9.2724609375,422.690476190476,106.221953829401
"12","120221303023",0.26056632399559,3,0,0,0,0,1900.36530732437,0,0,0,0,0,146,336,180,0,0,2848,483978,0,20535,507877,46.3423758948993,9.2724609375,0,1.13613542450578
"13","120221303030",1298.33720691642,3,0,0,13983.9669904283,20155.5373362162,1820.49669911175,0,0,0,10,11,15052,36715,3411,613,20132,179502,1486425,0,9954,1736752,46.403787107345,9.3603515625,711.84126984127,212.242207728696
"14","120221303031",1.47850590012968,3,0,0,0,3319.3328091581,2444.88169849478,0,0,0,0,1,576,278,76,0,0,0,1099838,0,33640,1133832,46.4037871073451,9.4482421875,0,1.90156854838641
"15","120221303032",7426.39507183805,3,831.923246207038,0,12779.9009942685,18609.3608432982,1341.35981635478,0,0,0,13,6,19546,59776,7205,1809,1632,69348,1585965,0,11017,1736752,46.3423758948993,9.3603515625,2303.66666666667,766.89136578841
"16","120221303033",3050.09329741867,3,352.35316762229,0,7646.84448629424,4308.315172876,1463.22519983931,2,0,0,10,3,14197,41815,7164,506,1482,67119,1577906,0,11502,1707494,46.3423758948993,9.4482421875,1333.35714285714,533.475221793536
"17","120221303122",1172.42468678951,3,0,0,1724.62536968315,2036.69497730089,1614.10185921784,0,0,0,2,1,2246,5619,91,0,0,28757,324949,0,4524,363940,46.3423758948993,9.5361328125,155.523809523809,41.1251769195207
"18","120221303132",21.7186527252197,3,0,0,0,0,2578.09995206658,0,0,0,0,0,303,0,0,0,0,620,372965,0,0,373585,46.3423758948993,9.7119140625,0,0
"19","120221303133",2.89021801948547,3,0,0,0,4003.99932432857,2543.1031062861,0,0,0,0,1,3520,1879,476,2116,0,23879,953430,0,2294,984074,46.3423758948993,9.7998046875,0,0
"20","120221303201",0.065141580998898,3,0,0,0,0,1818.07110955824,0,0,0,0,0,1058,1084,0,0,0,2844,982043,0,3147,989118,46.2809646824536,9.2724609375,0,0
"21","120221303202",570.226775884628,3,0,0,0,0,1499.38544082069,0,0,0,0,0,19,0,0,0,0,3065,260051,0,0,263116,46.2195534700078,9.1845703125,323.722222222222,174.636885156416
"22","120221303203",0,3,0,0,0,0,1686.38873039282,0,0,0,0,0,1416,1089,0,0,0,11198,1605295,0,2178,1619760,46.2195534700078,9.2724609375,0,1.14633646540218
"23","120221303210",5689.45518375281,3,5957.57651806197,0,18474.4488571679,20949.8369807287,780.73146913489,2,0,0,23,12,37345,84113,41216,5420,4074,299602,1284379,248,17700,1736752,46.2809646824536,9.3603515625,2719.8253968254,867.006853091471
"24","120221303211",585.862556561828,3,2246.38780240345,0,2651.97950873446,2853.19040044313,1421.69220965427,0,0,0,6,0,5530,11121,2829,0,239,80449,1641255,0,1961,1737854,46.2809646824536,9.4482421875,0,298.628455110932
"25","120221303212",744.472104676068,3,0,0,1449.4571506681,7988.11404707471,1377.94355223074,0,0,0,3,8,7843,16255,1912,510,0,76071,1638972,0,1456,1735176,46.2195534700078,9.3603515625,227.809523809524,275.035768806095
"26","120221303213",3825.18667191081,3,8715.77962760397,0,14938.4493864411,10534.9197952839,620.232025677991,3,0,0,22,6,23141,54116,19456,14186,2770,248625,1191918,6543,198663,1736277,46.2195534700078,9.4482421875,1545.7380952381,558.923539193272
"27","120221303220",4.94350370764732,3,0,0,0,0,1493.70972279765,0,0,0,0,0,5510,4448,362,0,67,18004,1349784,0,544,1373209,46.1581422575621,9.1845703125,0,15.1524929972943
"28","120221303221",9076.10663640499,3,0,0,19778.6908750256,19551.7367784701,760.333598889539,0,0,0,21,9,40847,106459,10957,990,10468,227243,1267459,0,114278,1737854,46.1581422575621,9.2724609375,2731.54761904762,935.21929764817
"29","120221303222",1761.79946643114,3,0,0,6369.09209467538,1887.67452060203,1458.28760336159,0,0,0,1,1,8091,15693,815,0,245,28956,1692108,0,37,1737854,46.0967310451164,9.1845703125,379.404761904762,266.376004659651
"30","120221303223",6913.8946262598,3,4296.56836165823,0,22708.6030587593,27407.718102248,581.814632181207,4,0,1,26,22,34588,99546,12079,697,14104,95292,880198,0,635938,1737854,46.0967310451164,9.2724609375,3851.14285714286,1356.11059538117
"31","120221303230",9131.79016753542,3,6290.89884589214,0,28871.7709954718,39434.0375040338,374.031814531545,7,0,2,26,20,50711,138492,32469,3609,27928,357782,621993,3808,550671,1736752,46.1581422575621,9.3603515625,3946.7619047619,1510.83382436421
"32","120221303231",10343.6023888681,3,12772.9364960301,0,47159.2924244025,37537.2667016524,454.847420394213,4,0,2,60,37,71266,122738,138141,5242,9332,547086,820595,46952,47768,1737854,46.1581422575621,9.4482421875,5139.01587301587,1753.64342933272
"33","120221303232",3363.99947586842,3,4927.82116159422,0,31166.9675495413,30327.6804890191,843.962367931846,2,0,1,12,19,26894,58911,8868,1881,5122,105976,1468236,0,87758,1736752,46.0967310451164,9.3603515625,2242.15873015873,1125.33255960173
"34","120221303233",0,3,0,0,0,0,1501.76028736506,0,0,0,0,0,3160,1539,163,0,0,8914,1726347,0,891,1737854,46.0967310451164,9.4482421875,497.269841269841,647.189828986747
"35","120221303300",7.9900985956192,3,0,0,0,0,2084.42913247462,0,0,0,0,0,741,1462,0,0,0,6984,1605638,0,295,1614379,46.2809646824536,9.5361328125,0,0
"36","120221303301",0,3,0,0,0,522.117221536795,2356.23908531876,0,0,0,0,0,554,816,0,0,0,7708,1168858,0,294,1177676,46.2809646824536,9.6240234375,0,0
"37","120221303302",0,3,0,0,0,0,2132.56282181535,0,0,0,0,0,592,799,0,0,0,5031,1728679,0,1768,1736277,46.2195534700078,9.5361328125,0,115.517246584592
"38","120221303303",794.760052680969,3,0,0,11113.2372283198,2753.3752763203,1536.38993463557,0,0,0,3,2,8764,12484,1004,2841,1555,22317,1691156,0,4920,1736277,46.2195534700078,9.6240234375,403,220.224651589301
